PDB_ID,Uniprot_Name,Ki,IC50,pKd,B_factor,Resolution,Date,Type,EC_number,Uniprot_ID,Uniprot_AC,Species,Reign,TaxId,Class,X,Y,Z,HET_CODE,MW,BSA,CHAIN,SITE_SIZE,NON_STDAA,IFP_LENGTH,ION,COF,IFP_BIT_1,IFP_BIT_2,IFP_BIT_3,IFP_BIT_4,IFP_BIT_5,IFP_BIT_6,IFP_BIT_7,IFP_BIT_8,scPDB_ID,Cavity_4A,Cavity_6A,Cavity_8A,Cavity_12A,Cluster_id,Cluster_size,Subcluster_belongership,Cluster_mean_point_sa,Cluster_tot_entries
1n20,(+)-bornyl diphosphate synthase,,,,18.651,2.3,2002-10-21,Wild_Type,5.5.1.8,BPPS_SALOF,O81192,Salvia officinalis ,Eukaryota,38868,Enzyme,35.016,40.1375,1.4557,3AG,316.2051,99.38195303,B,51,3,20,MG,,10,0,0,4,0,3,0,3,3680,300,354,374,388,1,1,1,1n20,2
1n24,(+)-bornyl diphosphate synthase,,,,16.933,2.3,2002-10-21,Wild_Type,5.5.1.8,BPPS_SALOF,O81192,Salvia officinalis ,Eukaryota,38868,Enzyme,43.5975,47.6549,48.5998,BP2,312.1932,99.52242872,A,49,3,20,MG,,11,0,0,3,0,3,0,3,3692,253,276,293,313,1,1,1,1n20,2
1gz6,(3R)-hydroxyacyl-CoA dehydrogenase,,,,12.004,2.38,2002-05-16,Wild_Type,1.1.1.,DHB4_RAT,P97852,Rattus norvegicus ,Eukaryota,10116,Enzyme,30.9745,37.2946,102.5052,NAI,663.4251,97.21115225,CD,65,0,33,,,22,0,0,7,3,1,0,0,4087,594,702,789,826,1326,1,1,1gz6,2
1zbq,(3R)-hydroxyacyl-CoA dehydrogenase,,,,19.683,2.71,2005-04-08,Mutant,1.1.1.,DHB4_HUMAN,P51659,Homo sapiens ,Eukaryota,9606,Enzyme,11.6044,28.5427,-25.7464,NAD,662.4172,97.85150171,AB,65,0,34,,,23,0,0,7,3,1,0,0,5105,499,519,519,519,1326,1,1,1gz6,2
3d04,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,0.0000009,,,10.375,2.4,2008-05-01,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,1.0329,-15.0266,-35.6642,SAK,286.27936,96.0784313725,CD,37,0,13,,,12,1,0,0,0,0,0,0,6241,401,573,759,938,1355,2,1,3doz,9
3doy,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,9.901,2.4,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,-1.6414,14.0939,-35.1327,2BE,447.48592,94.8545861298,CD,29,0,15,,,14,1,0,0,0,0,0,0,6417,381,492,600,715,1355,2,1,3doz,9
3doz,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,12.153,2.5,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,-1.82,-14.4162,35.2279,3BE,491.93692,96.4989059081,CD,33,0,17,,,15,1,1,0,0,0,0,0,6418,442,560,644,661,1355,2,1,3doz,9
3dp0,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,13.822,2.5,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,15.3802,16.7042,-12.3614,2BC,463.09954,87.1939736347,AB,30,0,17,,,12,1,1,1,1,1,0,0,6419,536,718,830,914,1355,2,2,3dp0,9
3dp1,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,9.51,2.3,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,-2.2166,-14.426,34.438,2RB,443.06684,91.1885245902,CD,30,0,13,,,12,1,0,0,0,0,0,0,6420,367,442,506,526,1355,2,1,3doz,9
3dp2,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase 2,,,,9.458,2.4,2008-07-07,Wild_Type,4.2.1.,Q5G940_HELPY,Q5G940,Helicobacter pylori ,Bacteria,210,Enzyme,1.3249,-14.0235,-35.4147,4BE,491.93692,100,CD,31,0,15,,,14,1,0,0,0,0,0,0,6421,492,718,975,1032,1355,2,1,3doz,9
